experiment_id,role,model_version,status,evidence_level,primary_output,allowed_claim,next_action
M1,multistep_state_prediction,V11-arrival-v4,completed_passed,formal,experiment_results/v11_physics_factorial_arrival_v4_independent_v2,"The complete physics-graph world model lowers paired held-out H5/H10 composite error versus an equal-capacity data-only graph model","retain as core evidence; do not claim every physics component is individually significant"
M2,future_charge_risk_open_loop,V13,completed_partial,diagnostic,experiment_results/world_model_multistep_v13_multiscale_v2_seed42,"Future charge-risk discrimination is identifiable across model seeds","do not claim control authority"
M3,frozen_threshold_confirmation,V13-v2,completed_failed_gate,diagnostic,experiment_results/world_model_multistep_v13_v2_confirm_model_seed42,"Frozen thresholds retain useful precision and calibration on an independent seed","recall gate prevents shadow or closed-loop continuation"
M4,architecture_benchmark,V13,completed_failed_strong_gate,supporting,experiment_results/future_risk_architecture_benchmark_v1,"V13 has the highest point-estimate average precision and best Brier score in this test","do not claim significant superiority over all learned baselines"
C1,one_hour_closed_loop,V11,completed_failed_gate,audit_only,audit_history/v11_final_v3_validation_20seeds_report.md,"No positive control-performance claim permitted","redesign before any new formal control claim"
C2,four_hour_attribution,V11,completed_failed_gate,audit_only,audit_history/v11_4h_attribution_pilot_report.md,"No stable benefit over the identical physics-only guard was established","do not extend to 8 h under the same protocol"
S1,system_level_fixed_time,V8,legacy_incompatible,legacy_only,legacy_single_step_DO_NOT_USE,"Historical single-step evidence only","replace before tying system KPIs to the multistep contribution"
A1,independent_discrete_event_validation,AnyLogic,completed_supporting,validation,paper_outputs/anylogic_validation/final,"Independent model reproduces load-dependent throughput waiting WIP and utilization trends","retain as system-level trend validation"
N1,multistep_decision_attribution,V11-arrival-v4-energy-neutral-gate,energy_neutral_4h_development_failed,audit_only_long_horizon,experiment_results/n1_arrival_v4_energy_neutral_development_4h_v3,"The energy-neutral gate does not prevent long-horizon EER reversal or conflict growth; no new confirmation or 8 h claim is permitted","stop threshold tuning; develop V14 dual-timescale terminal energy-throughput-charge prediction before any new control study"
N2,dual_timescale_world_model,V14-arrival-v4,completed_failed_open_loop_gate,diagnostic_only,experiment_results/world_model_multistep_v14_dual_timescale_v1_seed42,"Direct terminal heads improve future EER error over short-rollout extrapolation and identify queue risk but do not meet terminal energy and throughput accuracy gates","do not use V14 for control; retain as a documented negative design result"
N3,paired_counterfactual_world_model,V14.1-arrival-v4,completed_failed_full_confirmation_gate,diagnostic_only,experiment_results/world_model_counterfactual_v141_confirmation_v1,"On 837 fresh paired samples V14.1 identifies action effects and reduces 12-minute action-selection regret by 29.6%, but unweighted component MAE is worse than the zero-effect baseline and terminal energy/task sign gates fail","do not enter shadow control; retain the stable ranking signal as design evidence and develop a new preregistered zero-inflated ranking-aware V14.2 on training/development seeds only, followed by an untouched confirmation seed"
N4,zero_inflated_counterfactual_development,V14.2-arrival-v4,completed_failed_development,audit_only,experiment_results/v142_target_learnability_development,"Zero-inflated and ranking-aware heads did not consistently beat the zero-effect baseline on held-out trajectories","stop V14.2 training; retain as a documented negative development result"
N5,queue_complete_state_development,V14.3-arrival-v4,completed_underpowered_development,audit_only,experiment_results/v143_queue_complete_learnability_development,"Queue-complete auxiliary state produced only a weak non-reproducible energy signal on 190 samples and no charge-queue effects","do not launch a formal V14.3 neural training run; retain four-trajectory cross-checks"
N6,preregistered_action_ranking_confirmation,V14.4-frozen-V14.1,completed_passed,formal,experiment_results/world_model_counterfactual_v144_ranking_confirmation_v1,"On 1249 paired samples from 12 untouched trajectories the frozen three-model ensemble reduces 12-minute candidate-action ranking regret by 34.7% with a trajectory-bootstrap 95% CI of 19.8%-50.6%; 11 of 12 trajectories improve and every preregistered criterion passes","retain as core multistep decision evidence; proceed only to a separately preregistered non-acting shadow recommender confirmation"
N7,unanimous_shadow_recommender,V14.5-frozen-V14.1-parallel-v2,completed_passed,formal,experiment_results/world_model_counterfactual_v145_shadow_confirmation_parallel_v2,"On 1252 paired samples from 12 untouched trajectory-local random streams the frozen unanimous shadow gate issues 116 recommendations at 28.1% coverage; 75.0% have positive true utility, mean normalized gain is 0.3509 with trajectory-bootstrap 95% CI 0.2422-0.4652, and all 12 trajectories have positive mean gain","retain as core shadow reliability evidence; proceed only to a separately preregistered guarded closed-loop pilot with bounded execution authority"
N8,guarded_closed_loop_pilot,V14.6-frozen-V14.1,completed_failed_development,audit_only,experiment_results/v146_guarded_closed_loop_development_v1,"Five paired one-hour development seeds preserve exogenous arrivals and do not increase deadlocks, but route-blocking onsets rise systematically and seed 15802 violates the internally frozen per-run UPH and EER guards; no closed-loop performance claim is permitted","retain all negative development evidence; do not retune on seeds 15801-15805; design a separately frozen selective physics-enriched DT verification gate on new development seeds"
